Year,State,Number
2012,Nebraska,111739
2012,Nevada,182041
2012,New Hampshire,93834
2012,New Jersey,626592
2012,New Mexico,160741
2012,New York,1460363
2012,North Carolina,773679
2012,North Dakota,46236
2012,Ohio,1019072
2012,Oklahoma,329465
2012,Oregon,298795
2012,Pennsylvania,1012082
2012,Rhode Island,79835
2012,South Carolina,417975
2012,South Dakota,48562
2012,Tennessee,587903
2012,Texas,2028710
2012,Utah,141704
2012,Vermont,36031
2012,Virginia,659995
2012,Washington,462505
2012,West Virginia,190575
2012,Wisconsin,364778
2012,Wyoming,38939
2012,Guam,10132
2012,Puerto Rico,459680
2012,Virgin Islands of the U.S.,No Data
2013,Alabama,514307
2013,Alaska,39001
2013,Arizona,532595
2013,Arkansas,259065
2013,California,2969755
2013,Colorado,260336
2013,Connecticut,233969
2013,Delaware,80123
2013,District of Columbia,41790
2013,Florida,1736908
2013,Georgia,814092
2013,Hawaii,91981
2013,Idaho,98977
2013,Illinois,969566
2013,Indiana,545794
2013,Iowa,220791
2013,Kansas,207955
2013,Kentucky,359001
2013,Louisiana,407009
2013,Maine,102784
2013,Maryland,451013
2013,Massachusetts,452481
2013,Michigan,790176
2013,Minnesota,307608
2013,Mississippi,289050
2013,Missouri,445046
2013,Montana,60592
2013,Nebraska,128750
2013,Nevada,203955
2013,New Hampshire,96499
2013,New Jersey,632785
2013,New Mexico,169256
2013,New York,1625044
2013,North Carolina,860360
2013,North Dakota,49783
2013,Ohio,921012
2013,Oklahoma,320537
2013,Oregon,281477
2013,Pennsylvania,1014880
2013,Rhode Island,77160
2013,South Carolina,460464
2013,South Dakota,57835
2013,Tennessee,614979
2013,Texas,2132645
2013,Utah,143882
2013,Vermont,39122
2013,Virginia,631194
2013,Washington,462703
2013,West Virginia,192017
2013,Wisconsin,364684
2013,Wyoming,38544
2013,Guam,15337
2013,Puerto Rico,418229
2013,Virgin Islands of the U.S.,No Data
2014,Alabama,483458
2014,Alaska,41186
2014,Arizona,510071
2014,Arkansas,288781
2014,California,3035373
2014,Colorado,298301
2014,Connecticut,261240
2014,Delaware,80809
2014,District of Columbia,45809
2014,Florida,1771321
2014,Georgia,880495
2014,Hawaii,108365
2014,Idaho,91799
2014,Illinois,1001070
2014,Indiana,535832
2014,Iowa,225365
2014,Kansas,224860
2014,Kentucky,423646
2014,Louisiana,397294
2014,Maine,101413
2014,Maryland,467041
2014,Massachusetts,518771
2014,Michigan,796253
2014,Minnesota,340638
2014,Mississippi,292662
2014,Missouri,517992
2014,Montana,70294
2014,Nebraska,129627
2014,Nevada,206355
2014,New Hampshire,96862
2014,New Jersey,669861
2014,New Mexico,182120
2014,New York,1554909
